countryCode,country,2010,2018
ukr,Ukraine,56,91
cod,Democratic Republic of the Congo,74,80
mdg,Madagascar,66,62
lbr,Liberia,65,91
som,Somalia,46,46
srb,Serbia,95,92
geo,Georgia,94,98
alb,Albania,99,94
yem,Yemen,68,64
rou,Romania,95,90
ner,Niger,67,77
bfa,Burkina Faso,92,88
grc,Greece,99,97
phl,Philippines,80,67
ven,Venezuela (Bolivarian Republic of),79,74
pak,Pakistan,57,76
kgz,Kyrgyzstan,99,96
lby,Libya,98,97
lbn,Lebanon,80,82
sdn,Sudan,90,88
svk,Slovakia,98,96
tha,Thailand,98,96
mda,Republic of Moldova,97,93
dza,Algeria,95,80
tcd,Chad,46,37
mys,Malaysia,95,96
uga,Uganda,73,86
afg,Afghanistan,62,64
caf,Central African Republic,53,49
ita,Italy,91,93
sle,Sierra Leone,82,80
ben,Benin,68,71
cmr,Cameroon,79,71
gin,Guinea,58,48
nga,Nigeria,56,65
sau,Saudi Arabia,98,98
kaz,Kazakhstan,99,99
dji,Djibouti,85,86
mli,Mali,78,70
mmr,Myanmar,88,93
vnm,Viet Nam,98,97
btn,Bhutan,95,97
ssd,South Sudan,,51
idn,Indonesia,78,75
cze,Czechia,98,96
rwa,Rwanda,95,99
gbr,United Kingdom of Great Britain and Northern Ireland,89,92
civ,Côte d’Ivoire,70,71
are,United Arab Emirates,94,99
syr,Syrian Arab Republic,82,63
rus,Russian Federation,98,98
mrt,Mauritania,67,78
eth,Ethiopia,64,61
ken,Kenya,86,89
irl,Ireland,90,92
prt,Portugal,96,99
gnb,Guinea-Bissau,76,86
ind,India,82,90
mlt,Malta,73,96
eri,Eritrea,97,99
mar,Morocco,98,99
lva,Latvia,95,98
bgd,Bangladesh,88,97
cyp,Cyprus,87,90
irq,Iraq,75,83
ltu,Lithuania,96,92
bel,Belgium,95,96
atg,Antigua and Barbuda,98,96
pol,Poland,98,93
aut,Austria,80,94
npl,Nepal,86,91
est,Estonia,95,87
arm,Armenia,97,95
nzl,New Zealand,91,92
aze,Azerbaijan,89,96
hrv,Croatia,96,93
cog,Congo,75,75
esp,Spain,95,97
tgo,Togo,68,85
svn,Slovenia,95,93
swe,Sweden,97,97
col,Colombia,88,95
aus,Australia,94,95
nam,Namibia,75,82
lso,Lesotho,88,90
chn,China,99,99
fin,Finland,98,96
irn,Iran (Islamic Republic of),99,99
brn,Brunei Darussalam,94,99
mdv,Maldives,97,99
nor,Norway,93,96
jpn,Japan,94,97
gmb,Gambia,92,91
bgr,Bulgaria,97,93
png,Papua New Guinea,74,61
hun,Hungary,99,99
lao,Lao People’s Democratic Republic,64,69
nld,Netherlands,96,93
dnk,Denmark,85,95
chl,Chile,93,93
per,Peru,94,85
tza,United Republic of Tanzania,92,99
zaf,South Africa,72,70
gha,Ghana,93,92
ecu,Ecuador,95,83
ago,Angola,62,50
bdi,Burundi,92,88
qat,Qatar,99,99
sen,Senegal,81,82
zmb,Zambia,96,94
moz,Mozambique,82,85
can,Canada,90,90
gab,Gabon,62,59
egy,Egypt,96,94
mng,Mongolia,97,99
arg,Argentina,95,94
kor,Republic of Korea,98,98
khm,Cambodia,90,84
zwe,Zimbabwe,90,88
gtm,Guatemala,93,87
mwi,Malawi,93,87
lka,Sri Lanka,99,99
mex,Mexico,95,97
and,Andorra,99,99
bhr,Bahrain,99,99
bhs,Bahamas,94,89
blz,Belize,98,97
bol,Bolivia (Plurinational State of),88,89
brb,Barbados,85,85
bwa,Botswana,96,97
cok,Cook Islands,99,99
com,Comoros,72,90
cpv,Cabo Verde,97,99
cri,Costa Rica,83,94
cub,Cuba,99,99
dma,Dominica,99,84
dom,Dominican Republic,85,95
fji,Fiji,94,94
fsm,Micronesia (Federated States of ),80,73
gnq,Equatorial Guinea,51,30
grd,Grenada,95,84
guy,Guyana,95,98
hnd,Honduras,98,89
hti,Haiti,64,69
isl,Iceland,93,93
jam,Jamaica,89,89
jor,Jordan,98,92
kir,Kiribati,89,84
kna,Saint Kitts and Nevis,99,96
lca,Saint Lucia,95,86
nic,Nicaragua,99,99
omn,Oman,99,99
pan,Panama,97,98
prk,Democratic People’s Republic of Korea,99,98
pry,Paraguay,93,93
slb,Solomon Islands,74,93
slv,El Salvador,92,81
smr,San Marino,88,89
stp,Sao Tome and Principe,92,95
sur,Suriname,90,98
swz,Eswatini,94,89
tjk,Tajikistan,94,98
tkm,Turkmenistan,99,99
tls,Timor-Leste,66,77
ton,Tonga,86,85
tto,Trinidad and Tobago,92,90
ury,Uruguay,95,97
uzb,Uzbekistan,98,96
vct,Saint Vincent and The Grenadines,99,99
wsm,Samoa,56,31