country,Max 2010-2017,2018,,,,
Samoa,90,31,,,,
Montenegro,91,58,,,,
Bosnia and Herzegovina,94,68,,,,
Venezuela (Bolivarian Republic of),96,74,,,,
Micronesia (Federated States of ),92,73,,,,
Vanuatu,90,75,,,,
Algeria,95,80,,,,
Brazil,99,84,,,,
Dominica,99,84,,,,
Grenada,99,84,,,,
North Macedonia,98,83,,,,
Ecuador,97,83,,,,
El Salvador,95,81,,,,
Marshall Islands,97,83,,,,
Saint Lucia,99,86,,,,
Senegal,93,82,,,,
Barbados,96,85,,,,
Peru,96,85,,,,
Tuvalu,98,88,,,,
Burundi,98,88,,,,
Zimbabwe,97,88,,,,
Honduras,98,89,,,,
Malawi,96,87,,,,
Estonia,95,87,,,,
Eswatini,97,89,,,,
Bolivia (Plurinational State of),96,89,,,,
Kenya,96,89,,,,
Kiribati,91,84,,,,
Togo,91,85,,,,
Cambodia,90,84,,,,
Guatemala,93,87,,,,
Jamaica,95,89,,,,
Bahamas,94,89,,,,
Burkina Faso,92,88,,,,
Sudan,90,88,,,,
San Marino,90,89,,,,