Country,Name,Projected growth by 20130,2018 dtp3
gnq,Equatorial Guinea,0.2433,25
wsm,Samoa,0.0429,34
tcd,Chad,0.2204,41
som,Somalia,0.3129,42
gin,Guinea,0.1983,45
syr,Syrian Arab Republic,0.0680,47
caf,Central African Republic,0.1777,47
ssd,South Sudan,0.1077,49
ukr,Ukraine,-0.1979,50
nga,Nigeria,0.2047,57
ago,Angola,0.3287,59
ven,Venezuela (Bolivarian Republic of),0.0339,60
png,Papua New Guinea,0.1170,61
hti,Haiti,-0.0402,64
phl,Philippines,0.0232,65
yem,Yemen,0.0252,65
afg,Afghanistan,0.0365,66
lao,Lao People’s Democratic Republic,-0.0792,68
gab,Gabon,0.0168,70
mli,Mali,0.2596,71
eth,Ethiopia,0.1036,72
bih,Bosnia and Herzegovina,-0.1653,73
zaf,South Africa,-0.0312,74
cog,Congo,0.2218,75
mdg,Madagascar,0.2100,75
fsm,Micronesia (Federated States of ),0.0148,75
pak,Pakistan,0.0088,75
vnm,Viet Nam,-0.1497,75
ben,Benin,0.2259,76
ner,Niger,0.4092,79
cmr,Cameroon,0.1762,79
idn,Indonesia,-0.0464,79
moz,Mozambique,0.2432,80
cod,Democratic Republic of the Congo,0.2485,81
mrt,Mauritania,0.1926,81
sen,Senegal,0.1802,81
ton,Tonga,0.0406,81
mhl,Marshall Islands,0.0169,81
slv,El Salvador,-0.1372,81
civ,Côte d’Ivoire,0.2135,82
tls,Timor-Leste,0.0467,83
bol,Bolivia (Plurinational State of),0.0122,83
bra,Brazil,-0.1353,83
lbn,Lebanon,-0.2660,83
irq,Iraq,0.1422,84
lbr,Liberia,0.1862,84
dji,Djibouti,-0.0884,84
per,Peru,-0.0697,84
slb,Solomon Islands,0.1468,85
vut,Vanuatu,0.1489,85
ecu,Ecuador,-0.0306,85
aut,Austria,-0.0302,85
gtm,Guatemala,0.0200,86
arg,Argentina,-0.0259,86
rou,Romania,-0.1228,86
mne,Montenegro,-0.1024,87
tgo,Togo,0.1953,88
gnb,Guinea-Bissau,0.1203,88
pan,Panama,0.0138,88
pry,Paraguay,-0.0379,88
mex,Mexico,-0.0809,88
tuv,Tuvalu,0.0391,89
nam,Namibia,0.0257,89
zwe,Zimbabwe,0.0309,89
ind,India,-0.0292,89
zmb,Zambia,0.2797,90
bdi,Burundi,0.1958,90
sle,Sierra Leone,0.0662,90
smr,San Marino,0.0087,90
swz,Eswatini,-0.0127,90
hnd,Honduras,-0.0139,90
nru,Nauru,-0.0815,90
bhs,Bahamas,0.0043,90
bfa,Burkina Faso,0.2320,91
com,Comoros,0.1022,91
can,Canada,0.0149,91
mmr,Myanmar,-0.0255,91
fin,Finland,-0.0679,91
isl,Iceland,-0.0514,91
ury,Uruguay,-0.0741,91
npl,Nepal,-0.1245,91
mkd,North Macedonia,-0.1766,91
dza,Algeria,-0.1970,91
mwi,Malawi,0.2340,92
ken,Kenya,0.1454,92
khm,Cambodia,-0.0660,92
col,Colombia,-0.1291,92
ltu,Lithuania,-0.2751,92
bgr,Bulgaria,-0.1357,92
est,Estonia,-0.1698,92
arm,Armenia,-0.2490,92
uga,Uganda,0.1429,93
sdn,Sudan,0.1887,93
gmb,Gambia,0.1876,93
nld,Netherlands,0.0164,93
nzl,New Zealand,-0.0046,93
lso,Lesotho,-0.0678,93
deu,Germany,-0.0394,93
esp,Spain,-0.1219,93
hrv,Croatia,-0.1669,93
svn,Slovenia,-0.1573,93
geo,Georgia,-0.1977,93
mda,Republic of Moldova,-0.2192,93
usa,United States of America,0.0587,94
gbr,United Kingdom of Great Britain and Northern Ireland,-0.0384,94
irl,Ireland,-0.1276,94
dom,Dominican Republic,-0.0970,94
cri,Costa Rica,-0.1354,94
dma,Dominica,-0.1887,94
kgz,Kyrgyzstan,-0.0815,94
stp,Sao Tome and Principe,0.1720,95
eri,Eritrea,0.0914,95
plw,Palau,-0.0897,95
aus,Australia,-0.0185,95
kir,Kiribati,-0.0152,95
egy,Egypt,0.0017,95
ita,Italy,-0.0872,95
atg,Antigua and Barbuda,-0.0913,95
brb,Barbados,-0.0139,95
bwa,Botswana,-0.0096,95
chl,Chile,-0.1155,95
sur,Suriname,-0.0537,95
guy,Guyana,-0.1086,95
lca,Saint Lucia,-0.1827,95
pol,Poland,-0.1910,95
aze,Azerbaijan,-0.2248,95
nor,Norway,0.0855,96
blz,Belize,0.0078,96
fra,France,-0.0303,96
sgp,Singapore,-0.0792,96
che,Switzerland,-0.0138,96
tjk,Tajikistan,0.0123,96
jor,Jordan,-0.0669,96
srb,Serbia,-0.1479,96
cze,Czechia,-0.1275,96
svk,Slovakia,-0.1575,96
sau,Saudi Arabia,-0.1625,96
lva,Latvia,-0.2954,96
grd,Grenada,-0.1932,96
dnk,Denmark,0.0972,97
gha,Ghana,0.1084,97
rwa,Rwanda,0.0881,97
mus,Mauritius,-0.0589,97
swe,Sweden,-0.0293,97
prk,Democratic People’s Republic of Korea,-0.0658,97
kna,Saint Kitts and Nevis,-0.1397,97
mlt,Malta,-0.0781,97
tha,Thailand,-0.1533,97
btn,Bhutan,-0.1516,97
lby,Libya,-0.1360,97
vct,Saint Vincent and The Grenadines,-0.1048,97
tun,Tunisia,-0.1971,97
blr,Belarus,-0.2196,97
jam,Jamaica,-0.1403,97
rus,Russian Federation,-0.2233,97
tza,United Republic of Tanzania,0.2799,98
isr,Israel,0.0424,98
kor,Republic of Korea,-0.0919,98
qat,Qatar,-0.0224,98
bel,Belgium,-0.0357,98
cpv,Cabo Verde,-0.1321,98
tur,Turkey,-0.0875,98
bgd,Bangladesh,-0.1203,98
nic,Nicaragua,-0.0868,98
kaz,Kazakhstan,-0.1446,98
uzb,Uzbekistan,-0.1413,98
pse,State of Palestine,,99
lux,Luxembourg,0.0502,99
are,United Arab Emirates,-0.0325,99
bhr,Bahrain,0.0289,99
mco,Monaco,-0.0739,99
niu,Niue,-0.1154,99
mys,Malaysia,-0.0563,99
cok,Cook Islands,-0.1583,99
cyp,Cyprus,-0.1194,99
prt,Portugal,-0.0372,99
fji,Fiji,-0.0749,99
kwt,Kuwait,-0.0565,99
and,Andorra,-0.1707,99
hun,Hungary,-0.0851,99
grc,Greece,-0.1769,99
jpn,Japan,-0.1112,99
brn,Brunei Darussalam,-0.1498,99
mar,Morocco,-0.0857,99
lka,Sri Lanka,-0.1098,99
alb,Albania,-0.2641,99
cub,Cuba,-0.1629,99
tkm,Turkmenistan,-0.1246,99
mng,Mongolia,-0.1433,99
tto,Trinidad and Tobago,-0.1795,99
chn,China,-0.1644,99
syc,Seychelles,-0.1245,99
omn,Oman,-0.2036,99
mdv,Maldives,-0.2510,99
irn,Iran (Islamic Republic of),-0.1975,99